Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,356,189,245.67,189.28,219.3
date_1-5-2024_13.0.11_1.png,355,187,251.09,217.03,240.35
date_1-5-2024_15.0.11_1.png,353,185,251.58,211.07,234.95
date_1-6-2024_10.0.11_1.png,236,210,238.39,148.89,190.19
date_1-6-2024_13.0.11_1.png,237,212,248.02,231.13,246.18
date_1-6-2024_15.0.11_1.png,236,212,245.66,171.03,204.52
date_10-5-2024_10.0.10_1.png,359,193,252.07,195.63,220.95
date_10-5-2024_13.0.6_1.png,359,193,252.12,228.35,243.8
date_10-5-2024_15.0.7_1.png,359,191,252.61,204.62,228.82
date_11-5-2024_10.0.10_1.png,358,192,250.11,173.82,204.8
date_11-5-2024_12.23.0_1.png,373,201,250.37,211.23,232.79
date_13-5-2024_15.0.11_1.png,304,185,248.59,176.51,207.11
date_14-5-2024_10.0.11_1.png,304,186,250.4,191.7,219.28
date_14-5-2024_13.0.10_1.png,305,186,250.35,205.87,227.79
date_14-5-2024_15.0.11_1.png,304,189,250.83,203.69,227.17
date_15-5-2024_10.0.11_1.png,305,182,249.23,200.64,224.32
date_15-5-2024_13.0.10_1.png,304,178,251.78,216.93,236.41
date_15-5-2024_15.0.11_1.png,303,183,251.75,206.98,229.74
date_16-5-2024_10.0.11_1.png,305,182,244.34,187.21,213.37
date_16-5-2024_13.0.10_1.png,305,181,252.1,217.1,240.34
date_16-5-2024_15.0.10_1.png,304,177,250.45,200.56,226.62
date_17-5-2024_10.0.10_1.png,304,182,239.87,185.24,211.45
date_17-5-2024_13.0.10_1.png,307,189,252.51,224.71,246.6
date_17-5-2024_15.0.11_1.png,304,186,251.78,202.68,228.38
date_18-5-2024_10.0.11_1.png,304,183,250.78,174.41,205.97
date_18-5-2024_13.0.11_1.png,306,183,254.37,228.76,248.8
date_18-5-2024_15.0.11_1.png,305,182,231.03,133.37,175.43
date_19-5-2024_10.0.10_1.png,304,183,252.6,202.5,228.12
date_19-5-2024_13.0.10_1.png,306,182,254.49,222.67,243.76
date_19-5-2024_15.0.11_1.png,304,180,253.45,220.24,242.58
date_2-5-2024_10.0.10_1.png,356,190,243.93,192.27,221.21
date_2-5-2024_13.0.11_1.png,355,193,251.34,215.89,236.53
date_2-5-2024_15.0.11_1.png,354,191,251.15,212.06,236.86
date_2-6-2024_10.0.10_1.png,237,212,247.64,200.08,225.46
date_2-6-2024_13.0.10_1.png,233,203,243.38,165.46,201.18
date_2-6-2024_15.0.10_1.png,234,206,227.93,132.91,173.13
date_20-5-2024_10.0.10_1.png,305,186,252.09,206.3,231.2
date_20-5-2024_13.0.10_1.png,304,183,245.84,162.52,199.5
date_20-5-2024_15.0.11_1.png,305,184,253.76,233.58,250.1
date_21-5-2024_10.0.11_1.png,304,177,251.76,192.34,220.46
date_21-5-2024_13.0.11_1.png,304,181,252.32,208.01,232.95
date_21-5-2024_15.0.10_1.png,304,179,232.42,132.48,175.44
date_22-5-2024_10.0.11_1.png,302,164,247.19,164.01,200.34
date_22-5-2024_13.0.10_1.png,305,186,194.06,84.82,128.66
date_22-5-2024_15.0.10_1.png,305,183,206.55,97.11,140.03
date_23-5-2024_10.0.10_1.png,305,181,251.69,208.19,231.87
date_23-5-2024_12.22.37_1.png,315,222,253.9,212.27,235.31
date_23-5-2024_15.0.10_1.png,228,207,253.12,222.95,245.43
date_25-5-2024_10.0.11_1.png,228,196,252.97,225.78,248.52
date_25-5-2024_13.0.11_1.png,229,198,254.23,206.65,233.21
date_25-5-2024_15.0.11_1.png,230,203,246.17,157.04,198.54
date_26-5-2024_10.0.10_1.png,232,205,254.09,220.99,244.45
date_26-5-2024_13.0.10_1.png,231,202,254.08,227.91,249.67
date_26-5-2024_15.0.11_1.png,232,205,253.79,201.88,228.02
date_27-4-2024_10.0.11_1.png,351,187,248.89,204.52,227.0
date_27-4-2024_13.0.7_1.png,350,189,250.73,192.1,219.34
date_27-4-2024_15.0.11_1.png,350,182,251.3,194.94,222.69
date_28-4-2024_10.0.11_1.png,351,189,248.84,173.45,203.93
date_28-4-2024_13.0.10_1.png,349,176,250.23,212.99,233.83
date_28-4-2024_15.0.10_1.png,350,178,251.03,216.99,237.04
date_28-5-2024_10.0.11_1.png,231,207,250.98,216.85,239.97
