Filename,Center_X,Center_Y,Width,Height
date_1-5-2024_10.0.11_1.png,263,212,5,5
date_1-5-2024_13.0.10_1.png,263,210,5,5
date_1-5-2024_15.0.11_1.png,262,206,5,5
date_1-6-2024_10.0.11_1.png,333,259,5,5
date_1-6-2024_13.0.11_1.png,335,257,5,5
date_1-6-2024_15.0.11_1.png,334,258,5,5
date_10-5-2024_10.0.10_1.png,369,262,5,5
date_10-5-2024_13.0.11_1.png,368,261,5,5
date_10-5-2024_15.0.11_1.png,367,262,5,5
date_11-5-2024_10.0.10_1.png,366,258,5,5
date_11-5-2024_13.0.10_1.png,366,261,5,5
date_11-5-2024_15.0.6_1.png,365,258,5,5
date_12-5-2024_10.0.11_1.png,366,260,5,5
date_12-5-2024_13.0.11_1.png,364,258,5,5
date_12-5-2024_15.0.7_1.png,365,261,5,5
date_13-5-2024_10.0.10_1.png,363,263,5,5
date_13-5-2024_13.0.10_1.png,362,264,5,5
date_14-5-2024_10.0.10_1.png,308,262,5,5
date_14-5-2024_13.0.10_1.png,307,259,5,5
date_14-5-2024_15.0.11_1.png,306,260,5,5
date_15-5-2024_10.0.11_1.png,307,257,5,5
date_15-5-2024_13.0.10_1.png,308,255,5,5
date_15-5-2024_15.0.11_1.png,307,255,5,5
date_16-5-2024_10.0.10_1.png,306,261,5,5
date_16-5-2024_13.0.11_1.png,306,262,5,5
date_16-5-2024_15.0.11_1.png,306,260,5,5
date_17-5-2024_10.0.10_1.png,310,262,5,5
date_17-5-2024_13.0.11_1.png,308,261,5,5
date_17-5-2024_15.0.11_1.png,305,262,5,5
date_18-5-2024_10.0.10_1.png,309,261,5,5
date_18-5-2024_13.0.10_1.png,309,256,5,5
date_18-5-2024_15.0.10_1.png,310,262,5,5
date_19-5-2024_10.0.11_1.png,310,260,5,5
date_19-5-2024_13.0.11_1.png,308,260,5,5
date_19-5-2024_15.0.10_1.png,309,259,5,5
date_2-5-2024_10.0.10_1.png,263,210,5,5
date_2-5-2024_13.0.11_1.png,263,210,5,5
date_2-5-2024_15.0.10_1.png,262,208,5,5
date_2-6-2024_10.0.10_1.png,334,257,5,5
date_2-6-2024_13.0.11_1.png,333,256,5,5
date_2-6-2024_15.0.10_1.png,332,255,5,5
date_20-5-2024_10.0.10_1.png,310,262,5,5
date_20-5-2024_13.0.11_1.png,310,259,5,5
date_20-5-2024_15.0.10_1.png,310,261,5,5
date_21-5-2024_10.0.11_1.png,308,256,5,5
date_21-5-2024_13.0.11_1.png,309,261,5,5
date_22-5-2024_10.0.11_1.png,308,259,5,5
date_22-5-2024_13.0.11_1.png,309,264,5,5
date_22-5-2024_15.0.11_1.png,309,262,5,5
date_23-5-2024_10.0.10_1.png,310,260,5,5
date_23-5-2024_13.0.11_1.png,308,259,5,5
date_23-5-2024_15.0.11_1.png,308,258,5,5
date_24-5-2024_10.0.11_1.png,343,257,5,5
date_24-5-2024_13.0.11_1.png,344,258,5,5
date_24-5-2024_15.0.10_1.png,343,257,5,5
date_25-5-2024_10.0.10_1.png,339,246,5,5
date_25-5-2024_13.0.11_1.png,341,253,5,5
date_25-5-2024_15.0.10_1.png,342,258,5,5
date_26-5-2024_10.0.11_1.png,344,258,5,5
date_26-5-2024_13.0.10_1.png,344,258,5,5
date_26-5-2024_15.0.11_1.png,343,258,5,5
date_27-5-2024_10.0.10_1.png,344,258,5,5
date_27-5-2024_13.0.11_1.png,344,258,5,5
date_27-5-2024_15.0.11_1.png,343,258,5,5
date_28-5-2024_10.0.11_1.png,345,257,5,5
date_28-5-2024_13.0.11_1.png,343,260,5,5
date_29-5-2024_10.0.10_1.png,342,261,5,5
