Filename,Center_X,Center_Y,Width,Height
date_17-5-2024_10.0.11_1.png,204,221,5,5
date_17-5-2024_10.0.11_1.png,833,236,5,5
date_12-5-2024_10.0.11_1.png,309,199,5,5
date_12-5-2024_10.0.11_1.png,938,214,5,5
date_1-5-2024_15.0.11_1.png,277,93,5,5
date_1-5-2024_15.0.11_1.png,905,113,5,5
date_22-5-2024_13.0.10_1.png,816,241,5,5
date_22-5-2024_13.0.10_1.png,189,223,5,5
date_15-5-2024_13.0.10_1.png,907,232,5,5
date_15-5-2024_13.0.10_1.png,278,217,5,5
date_28-5-2024_13.0.10_1.png,714,222,5,5
date_28-5-2024_13.0.10_1.png,86,208,5,5
date_20-5-2024_10.0.11_1.png,206,223,5,5
date_20-5-2024_10.0.11_1.png,833,240,5,5
date_18-5-2024_10.0.11_1.png,832,233,5,5
date_18-5-2024_10.0.11_1.png,205,216,5,5
date_19-5-2024_15.0.10_1.png,204,218,5,5
date_19-5-2024_15.0.10_1.png,831,234,5,5
date_3-5-2024_13.0.10_1.png,352,181,5,5
date_3-5-2024_13.0.10_1.png,981,197,5,5
date_30-5-2024_13.0.10_1.png,714,224,5,5
date_30-5-2024_13.0.10_1.png,86,210,5,5
date_16-5-2024_15.0.10_1.png,264,219,5,5
date_16-5-2024_15.0.10_1.png,892,233,5,5
date_1-5-2024_10.0.11_1.png,278,99,5,5
date_1-5-2024_10.0.11_1.png,905,119,5,5
date_14-5-2024_13.0.10_1.png,284,228,5,5
date_14-5-2024_13.0.10_1.png,913,242,5,5
date_19-5-2024_10.0.11_1.png,205,219,5,5
date_19-5-2024_10.0.11_1.png,832,236,5,5
date_10-5-2024_13.0.11_1.png,311,201,5,5
date_10-5-2024_13.0.11_1.png,940,216,5,5
date_11-5-2024_13.0.10_1.png,938,209,5,5
date_11-5-2024_13.0.10_1.png,309,195,5,5
date_21-5-2024_10.0.11_1.png,200,210,5,5
date_21-5-2024_10.0.11_1.png,828,227,5,5
date_29-5-2024_13.0.10_1.png,715,227,5,5
date_29-5-2024_13.0.10_1.png,86,210,5,5
date_27-5-2024_13.0.11_1.png,716,227,5,5
date_27-5-2024_13.0.11_1.png,88,211,5,5
date_30-4-2024_15.0.11_1.png,906,115,5,5
date_30-4-2024_15.0.11_1.png,277,95,5,5
date_16-5-2024_10.0.11_1.png,907,233,5,5
date_16-5-2024_10.0.11_1.png,279,218,5,5
date_23-5-2024_13.0.10_1.png,813,232,5,5
date_23-5-2024_13.0.10_1.png,185,217,5,5
date_13-5-2024_10.0.11_1.png,934,217,5,5
