Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,263,212,249.47,201.43,233.15
date_1-5-2024_13.0.10_1.png,263,210,249.97,218.25,242.4
date_1-5-2024_15.0.11_1.png,262,206,250.92,211.35,240.25
date_1-6-2024_10.0.11_1.png,333,259,244.22,157.34,200.3
date_1-6-2024_13.0.11_1.png,335,257,251.66,204.98,251.52
date_1-6-2024_15.0.11_1.png,334,258,224.46,146.5,242.91
date_10-5-2024_10.0.10_1.png,369,262,250.22,205.07,233.75
date_10-5-2024_13.0.11_1.png,368,261,250.07,218.57,239.08
date_10-5-2024_15.0.11_1.png,367,262,250.26,203.19,232.83
date_11-5-2024_10.0.10_1.png,366,258,251.41,197.73,229.11
date_11-5-2024_13.0.10_1.png,366,261,251.72,225.69,246.18
date_11-5-2024_15.0.6_1.png,365,258,251.18,204.99,233.95
date_12-5-2024_10.0.11_1.png,366,260,251.35,211.87,238.62
date_12-5-2024_13.0.11_1.png,364,258,251.93,225.73,246.28
date_12-5-2024_15.0.7_1.png,365,261,251.66,213.92,240.64
date_13-5-2024_10.0.10_1.png,363,263,248.34,199.66,230.02
date_13-5-2024_13.0.10_1.png,362,264,250.51,218.69,241.87
date_14-5-2024_10.0.10_1.png,308,262,247.98,207.83,234.07
date_14-5-2024_13.0.10_1.png,307,259,249.01,208.08,233.72
date_14-5-2024_15.0.11_1.png,306,260,244.33,173.84,248.19
date_15-5-2024_10.0.11_1.png,307,257,247.91,206.96,250.04
date_15-5-2024_13.0.10_1.png,308,255,251.53,207.3,251.43
date_15-5-2024_15.0.11_1.png,307,255,242.87,179.47,249.94
date_16-5-2024_10.0.10_1.png,306,261,248.59,194.16,223.72
date_16-5-2024_13.0.11_1.png,306,262,252.01,217.59,243.1
date_16-5-2024_15.0.11_1.png,306,260,251.49,208.83,234.61
date_17-5-2024_10.0.10_1.png,310,262,252.16,213.66,240.64
date_17-5-2024_13.0.11_1.png,308,261,252.95,231.33,251.35
date_17-5-2024_15.0.11_1.png,305,262,251.93,221.71,245.91
date_18-5-2024_10.0.10_1.png,309,261,250.85,190.18,223.86
date_18-5-2024_13.0.10_1.png,309,256,251.76,225.22,247.65
date_18-5-2024_15.0.10_1.png,310,262,196.49,105.51,223.23
date_19-5-2024_10.0.11_1.png,310,260,243.9,177.91,213.1
date_19-5-2024_13.0.11_1.png,308,260,250.75,218.1,241.88
date_19-5-2024_15.0.10_1.png,309,259,252.35,227.32,249.24
date_2-5-2024_10.0.10_1.png,263,210,251.24,205.69,237.07
date_2-5-2024_13.0.11_1.png,263,210,251.51,219.35,245.14
date_2-5-2024_15.0.10_1.png,262,208,226.01,125.39,173.26
date_2-6-2024_10.0.10_1.png,334,257,250.19,192.36,251.31
date_2-6-2024_13.0.11_1.png,333,256,250.63,185.23,219.55
date_2-6-2024_15.0.10_1.png,332,255,229.45,129.49,175.85
date_20-5-2024_10.0.10_1.png,310,262,246.23,188.58,221.55
date_20-5-2024_13.0.11_1.png,310,259,221.7,172.06,236.06
date_20-5-2024_15.0.10_1.png,310,261,243.06,192.75,222.73
date_21-5-2024_10.0.11_1.png,308,256,247.45,186.2,218.38
date_21-5-2024_13.0.11_1.png,309,261,236.53,179.49,248.93
date_22-5-2024_10.0.11_1.png,308,259,227.07,163.17,247.18
date_22-5-2024_13.0.11_1.png,309,264,159.62,132.02,223.76
date_22-5-2024_15.0.11_1.png,309,262,216.17,117.65,163.67
date_23-5-2024_10.0.10_1.png,310,260,249.84,209.22,235.84
date_23-5-2024_13.0.11_1.png,308,259,251.33,221.14,243.42
date_23-5-2024_15.0.11_1.png,308,258,250.2,216.56,239.17
date_24-5-2024_10.0.11_1.png,343,257,244.32,181.29,248.86
date_24-5-2024_13.0.11_1.png,344,258,221.3,200.82,248.6
date_24-5-2024_15.0.10_1.png,343,257,250.29,217.58,240.78
date_25-5-2024_10.0.10_1.png,339,246,251.08,215.79,240.47
date_25-5-2024_13.0.11_1.png,341,253,250.48,194.75,250.75
date_25-5-2024_15.0.10_1.png,342,258,204.63,173.57,247.1
date_26-5-2024_10.0.11_1.png,344,258,245.47,172.92,250.92
date_26-5-2024_13.0.10_1.png,344,258,250.31,197.87,250.4
date_26-5-2024_15.0.11_1.png,343,258,229.4,150.92,245.94
date_27-5-2024_10.0.10_1.png,344,258,250.22,200.05,228.78
date_27-5-2024_13.0.11_1.png,344,258,238.46,166.41,247.46
date_27-5-2024_15.0.11_1.png,343,258,248.29,187.25,219.25
date_28-5-2024_10.0.11_1.png,345,257,249.47,193.95,225.27
date_28-5-2024_13.0.11_1.png,343,260,239.51,158.19,243.89
date_29-5-2024_10.0.10_1.png,342,261,251.5,217.79,244.11
date_29-5-2024_13.0.11_1.png,344,259,223.38,149.42,243.3
date_29-5-2024_15.0.11_1.png,345,261,233.37,140.69,185.53
date_3-5-2024_10.0.11_1.png,263,204,251.46,195.18,230.0
date_3-5-2024_13.0.11_1.png,263,202,248.1,180.62,249.54
date_3-5-2024_15.0.10_1.png,262,204,251.15,204.42,235.89
date_3-6-2024_10.0.11_1.png,336,266,251.54,207.43,238.25
