Filename,Center_X,Center_Y,Width,Height
date_1-5-2024_10.0.11_1.png,279,243,5,5
date_1-5-2024_10.0.11_1.png,357,184,5,5
date_1-5-2024_12.19.46_1.png,330,254,5,5
date_1-5-2024_13.0.11_1.png,357,183,5,5
date_1-5-2024_15.0.11_1.png,357,182,5,5
date_1-6-2024_10.0.11_1.png,382,206,5,5
date_1-6-2024_10.0.11_1.png,326,252,5,5
date_1-6-2024_13.0.11_1.png,328,253,5,5
date_1-6-2024_13.0.11_1.png,382,207,5,5
date_1-6-2024_15.0.10_1.png,328,252,5,5
date_1-6-2024_15.0.11_1.png,382,206,5,5
date_10-5-2024_10.0.10_1.png,310,251,5,5
date_10-5-2024_10.0.11_1.png,362,190,5,5
date_10-5-2024_13.0.10_1.png,310,249,5,5
date_10-5-2024_13.0.11_1.png,362,189,5,5
date_10-5-2024_15.0.10_1.png,310,249,5,5
date_10-5-2024_15.0.10_1.png,361,185,5,5
date_11-5-2024_10.0.10_1.png,310,247,5,5
date_11-5-2024_10.0.11_1.png,362,183,5,5
date_11-5-2024_13.0.10_1.png,361,187,5,5
date_11-5-2024_13.0.11_1.png,310,247,5,5
date_11-5-2024_15.0.11_1.png,361,189,5,5
date_11-5-2024_15.0.11_1.png,311,245,5,5
date_12-5-2024_10.0.10_1.png,360,188,5,5
date_12-5-2024_10.0.10_1.png,310,245,5,5
date_12-5-2024_13.0.10_1.png,360,185,5,5
date_12-5-2024_13.0.10_1.png,311,247,5,5
date_12-5-2024_15.0.11_1.png,311,246,5,5
date_12-5-2024_15.0.11_1.png,360,188,5,5
date_13-5-2024_10.0.11_1.png,358,191,5,5
date_13-5-2024_10.0.11_1.png,313,251,5,5
date_13-5-2024_13.0.10_1.png,322,247,5,5
date_13-5-2024_13.0.11_1.png,371,186,5,5
date_13-5-2024_15.0.11_1.png,363,197,5,5
date_13-5-2024_15.0.11_1.png,345,249,5,5
date_14-5-2024_10.0.11_1.png,335,252,5,5
date_14-5-2024_10.0.11_1.png,365,196,5,5
date_14-5-2024_13.0.11_1.png,335,254,5,5
date_14-5-2024_13.0.11_1.png,364,203,5,5
date_14-5-2024_15.0.10_1.png,363,198,5,5
date_14-5-2024_15.0.11_1.png,335,252,5,5
date_15-5-2024_10.0.10_1.png,333,248,5,5
date_15-5-2024_10.0.11_1.png,364,186,5,5
date_15-5-2024_13.0.10_1.png,364,186,5,5
date_15-5-2024_13.0.10_1.png,332,246,5,5
date_15-5-2024_15.0.11_1.png,364,184,5,5
date_15-5-2024_15.0.11_1.png,332,247,5,5
date_16-5-2024_10.0.10_1.png,334,245,5,5
date_16-5-2024_10.0.10_1.png,364,186,5,5
date_16-5-2024_13.0.10_1.png,363,206,5,5
date_16-5-2024_13.0.11_1.png,346,250,5,5
date_16-5-2024_15.0.11_1.png,339,244,5,5
date_16-5-2024_15.0.11_1.png,363,187,5,5
date_17-5-2024_10.0.10_1.png,350,251,5,5
date_17-5-2024_10.0.10_1.png,359,184,5,5
date_17-5-2024_13.0.11_1.png,350,250,5,5
date_17-5-2024_13.0.11_1.png,363,194,5,5
date_17-5-2024_15.0.11_1.png,360,200,5,5
date_17-5-2024_15.0.11_1.png,347,241,5,5
date_18-5-2024_10.0.10_1.png,363,182,5,5
date_18-5-2024_10.0.10_1.png,349,247,5,5
date_18-5-2024_13.0.11_1.png,350,245,5,5
date_18-5-2024_13.0.11_1.png,363,184,5,5
date_18-5-2024_15.0.11_1.png,363,182,5,5
date_18-5-2024_15.0.11_1.png,350,249,5,5
date_19-5-2024_10.0.10_1.png,361,185,5,5
date_19-5-2024_10.0.10_1.png,339,248,5,5
date_19-5-2024_13.0.11_1.png,361,179,5,5
date_19-5-2024_13.0.11_1.png,340,247,5,5
date_19-5-2024_15.0.10_1.png,362,180,5,5
date_19-5-2024_15.0.11_1.png,339,245,5,5
date_2-5-2024_10.0.11_1.png,359,184,5,5
date_2-5-2024_13.0.10_1.png,358,194,5,5
date_2-5-2024_15.0.10_1.png,360,186,5,5
date_2-6-2024_10.0.10_1.png,381,196,5,5
date_2-6-2024_10.0.10_1.png,326,245,5,5
date_2-6-2024_13.0.10_1.png,381,196,5,5
date_2-6-2024_13.0.11_1.png,327,242,5,5
date_2-6-2024_15.0.10_1.png,381,206,5,5
date_2-6-2024_15.0.11_1.png,330,248,5,5
date_20-5-2024_10.0.10_1.png,339,249,5,5
date_20-5-2024_10.0.10_1.png,361,193,5,5
date_20-5-2024_13.0.10_1.png,339,249,5,5
date_20-5-2024_13.0.11_1.png,362,186,5,5
date_20-5-2024_15.0.10_1.png,361,185,5,5
date_20-5-2024_15.0.11_1.png,339,247,5,5
date_21-5-2024_10.0.10_1.png,339,244,5,5
date_21-5-2024_10.0.11_1.png,360,177,5,5
date_21-5-2024_13.0.10_1.png,362,183,5,5
date_21-5-2024_13.0.10_1.png,338,247,5,5
date_21-5-2024_15.0.11_1.png,337,246,5,5
date_21-5-2024_15.0.11_1.png,362,184,5,5
date_22-5-2024_10.0.11_1.png,360,180,5,5
date_22-5-2024_10.0.11_1.png,351,241,5,5
date_22-5-2024_13.0.11_1.png,345,252,5,5
date_22-5-2024_13.0.11_1.png,362,196,5,5
date_22-5-2024_15.0.11_1.png,345,249,5,5
date_22-5-2024_15.0.11_1.png,362,187,5,5
date_23-5-2024_10.0.10_1.png,349,246,5,5
date_23-5-2024_10.0.11_1.png,320,221,5,5
date_23-5-2024_13.0.11_1.png,365,204,5,5
date_23-5-2024_13.0.11_1.png,348,246,5,5
date_23-5-2024_15.0.11_1.png,348,245,5,5
date_23-5-2024_15.0.11_1.png,366,203,5,5
date_24-5-2024_10.0.10_1.png,366,204,5,5
date_24-5-2024_10.0.10_1.png,348,254,5,5
date_24-5-2024_13.0.10_1.png,367,205,5,5
date_24-5-2024_13.0.10_1.png,350,255,5,5
date_24-5-2024_15.0.11_1.png,367,204,5,5
date_24-5-2024_15.0.11_1.png,349,252,5,5
date_25-5-2024_10.0.11_1.png,354,247,5,5
date_25-5-2024_10.0.11_1.png,369,208,5,5
date_25-5-2024_13.0.10_1.png,354,246,5,5
date_25-5-2024_13.0.10_1.png,368,178,5,5
date_25-5-2024_15.0.11_1.png,371,204,5,5
date_25-5-2024_15.0.11_1.png,351,250,5,5
date_26-5-2024_10.0.10_1.png,372,194,5,5
date_26-5-2024_10.0.10_1.png,350,250,5,5
date_26-5-2024_13.0.10_1.png,351,246,5,5
date_26-5-2024_13.0.11_1.png,371,204,5,5
date_26-5-2024_15.0.11_1.png,351,250,5,5
date_26-5-2024_15.0.11_1.png,372,204,5,5
date_27-4-2024_10.0.10_1.png,382,212,5,5
date_27-4-2024_13.0.10_1.png,380,196,5,5
date_27-4-2024_15.0.11_1.png,380,203,5,5
date_27-5-2024_10.0.10_1.png,351,250,5,5
date_27-5-2024_10.0.10_1.png,373,204,5,5
date_27-5-2024_13.0.11_1.png,352,249,5,5
date_27-5-2024_13.0.11_1.png,373,203,5,5
date_27-5-2024_15.0.11_1.png,351,249,5,5
date_27-5-2024_15.0.11_1.png,373,205,5,5
date_28-4-2024_10.0.11_1.png,382,215,5,5
date_28-4-2024_13.0.10_1.png,377,186,5,5
date_28-4-2024_15.0.10_1.png,377,190,5,5
date_28-5-2024_10.0.10_1.png,352,250,5,5
date_28-5-2024_10.0.11_1.png,372,203,5,5
date_28-5-2024_13.0.10_1.png,372,209,5,5
date_28-5-2024_13.0.11_1.png,351,249,5,5
date_28-5-2024_15.0.11_1.png,351,248,5,5
date_29-4-2024_10.0.10_1.png,379,213,5,5
date_29-4-2024_13.0.11_1.png,379,201,5,5
date_29-4-2024_15.0.11_1.png,380,215,5,5
date_29-5-2024_10.0.10_1.png,351,252,5,5
date_29-5-2024_10.0.10_1.png,372,200,5,5
date_29-5-2024_13.0.10_1.png,372,205,5,5
date_29-5-2024_13.0.11_1.png,351,250,5,5
date_29-5-2024_15.0.11_1.png,373,202,5,5
date_29-5-2024_15.0.11_1.png,351,252,5,5
date_3-5-2024_10.0.10_1.png,359,181,5,5
date_3-5-2024_13.0.10_1.png,360,185,5,5
date_3-5-2024_15.0.10_1.png,359,183,5,5
date_3-6-2024_10.0.10_1.png,362,256,5,5
date_3-6-2024_10.0.11_1.png,377,194,5,5
date_3-6-2024_13.0.10_1.png,379,211,5,5
date_3-6-2024_13.0.11_1.png,357,251,5,5
date_3-6-2024_15.0.11_1.png,377,183,5,5
date_3-6-2024_15.0.11_1.png,374,249,5,5
date_30-4-2024_10.0.10_1.png,359,183,5,5
date_30-4-2024_13.0.11_1.png,356,183,5,5
date_30-4-2024_15.0.11_1.png,357,187,5,5
date_30-4-2024_15.0.11_1.png,284,240,5,5
date_30-5-2024_10.0.10_1.png,350,250,5,5
date_30-5-2024_10.0.11_1.png,373,205,5,5
date_30-5-2024_13.0.11_1.png,374,206,5,5
date_30-5-2024_13.0.11_1.png,350,250,5,5
date_30-5-2024_15.0.11_1.png,373,204,5,5
date_31-5-2024_10.0.10_1.png,327,254,5,5
date_31-5-2024_10.0.11_1.png,382,206,5,5
date_31-5-2024_13.0.11_1.png,382,207,5,5
date_31-5-2024_13.0.11_1.png,327,254,5,5
date_31-5-2024_15.0.11_1.png,382,207,5,5
date_31-5-2024_15.0.11_1.png,328,254,5,5
date_4-5-2024_13.0.10_1.png,361,190,5,5
date_4-5-2024_15.0.11_1.png,360,193,5,5
date_4-6-2024_13.0.11_1.png,380,192,5,5
date_4-6-2024_13.0.11_1.png,368,245,5,5
date_4-6-2024_15.0.11_1.png,373,237,5,5
date_4-6-2024_15.0.11_1.png,378,187,5,5
date_5-5-2024_10.0.11_1.png,360,183,5,5
date_5-5-2024_13.0.10_1.png,358,170,5,5
date_5-5-2024_15.0.11_1.png,359,177,5,5
date_5-6-2024_10.0.10_1.png,380,247,5,5
date_5-6-2024_10.0.10_1.png,376,205,5,5
date_5-6-2024_13.0.11_1.png,376,197,5,5
date_5-6-2024_13.0.11_1.png,378,242,5,5
date_5-6-2024_15.0.10_1.png,376,205,5,5
date_5-6-2024_15.0.11_1.png,379,245,5,5
date_6-5-2024_10.0.10_1.png,359,175,5,5
date_6-5-2024_13.0.11_1.png,359,180,5,5
date_6-5-2024_15.0.11_1.png,360,187,5,5
date_6-6-2024_10.0.11_1.png,377,210,5,5
date_6-6-2024_10.0.11_1.png,378,249,5,5
date_6-6-2024_13.0.11_1.png,379,247,5,5
date_6-6-2024_15.0.11_1.png,378,246,5,5
date_7-5-2024_10.0.11_1.png,358,185,5,5
date_7-5-2024_13.0.11_1.png,358,184,5,5
date_7-5-2024_15.0.11_1.png,358,183,5,5
date_8-5-2024_10.0.10_1.png,357,184,5,5
date_8-5-2024_13.0.10_1.png,358,185,5,5
date_8-5-2024_15.0.10_1.png,358,186,5,5
date_9-5-2024_10.0.10_1.png,357,184,5,5
date_9-5-2024_13.0.11_1.png,358,196,5,5
date_9-5-2024_15.0.11_1.png,361,193,5,5
