Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-6-2024_10.0.11_1.png,283,58,246.68,155.98,217.74
date_1-6-2024_13.0.11_1.png,282,60,251.87,207.8,248.49
date_1-6-2024_15.0.11_1.png,282,58,248.32,163.31,218.86
date_13-5-2024_12.8.2_1.png,407,63,253.91,200.15,244.83
date_2-6-2024_10.0.11_1.png,282,57,246.08,178.32,228.44
date_2-6-2024_13.0.10_1.png,280,42,245.36,141.23,204.39
date_2-6-2024_15.0.11_1.png,281,56,246.31,140.32,203.78
date_23-5-2024_12.43.0_1.png,330,54,249.93,178.46,227.2
date_23-5-2024_15.0.7_1.png,290,60,254.12,188.23,237.66
date_24-5-2024_10.0.11_1.png,290,58,247.54,181.33,233.84
date_24-5-2024_13.0.10_1.png,289,59,251.14,167.42,225.78
date_24-5-2024_15.0.11_1.png,289,60,253.56,206.79,249.13
date_25-5-2024_10.0.11_1.png,286,54,249.61,178.27,230.25
date_25-5-2024_13.0.10_1.png,285,55,253.82,211.51,251.23
date_25-5-2024_15.0.10_1.png,285,56,252.32,158.67,220.35
date_26-5-2024_10.0.11_1.png,284,56,248.43,194.62,241.44
date_26-5-2024_13.0.10_1.png,283,60,251.87,202.8,248.18
date_26-5-2024_15.0.10_1.png,283,59,249.44,154.83,215.39
date_27-5-2024_10.0.11_1.png,283,57,242.29,164.61,220.97
date_27-5-2024_13.0.10_1.png,283,59,250.46,183.01,236.29
date_27-5-2024_15.0.11_1.png,282,59,252.25,187.58,239.0
date_28-5-2024_10.0.11_1.png,283,55,244.22,186.14,235.38
date_28-5-2024_13.0.10_1.png,282,59,251.28,196.97,246.07
date_28-5-2024_15.0.11_1.png,282,60,250.43,160.07,221.27
date_29-5-2024_10.0.11_1.png,283,60,247.46,184.3,235.4
date_29-5-2024_13.0.10_1.png,283,58,247.62,156.22,217.7
date_29-5-2024_15.0.11_1.png,284,60,246.31,145.13,209.33
date_3-6-2024_10.0.11_1.png,276,56,249.25,158.2,222.61
date_3-6-2024_13.0.10_1.png,274,59,252.59,194.48,245.36
date_3-6-2024_15.0.10_1.png,271,54,249.9,190.17,240.25
date_30-5-2024_10.0.11_1.png,283,55,244.77,166.53,222.57
date_30-5-2024_13.0.10_1.png,282,59,250.67,185.9,234.74
date_30-5-2024_15.0.11_1.png,281,58,252.86,179.31,230.77
date_31-5-2024_10.0.11_1.png,283,61,243.57,150.22,213.78
date_31-5-2024_13.0.11_1.png,282,61,250.94,179.98,230.72
date_31-5-2024_15.0.11_1.png,283,62,252.78,196.25,243.15
date_4-6-2024_13.0.11_1.png,271,51,249.01,160.87,222.31
date_4-6-2024_15.0.11_1.png,270,46,246.57,155.41,210.69
date_5-6-2024_10.0.11_1.png,271,54,246.33,163.91,222.85
date_5-6-2024_13.0.10_1.png,269,51,252.13,178.34,233.22
date_5-6-2024_15.0.10_1.png,270,56,251.28,193.6,245.46
date_6-6-2024_10.0.11_1.png,271,57,245.74,173.35,229.51
