Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,317,14,247.5,167.8,201.56
date_1-5-2024_13.0.11_1.png,320,11,249.43,171.23,203.83
date_1-5-2024_15.0.11_1.png,321,13,246.97,167.46,199.98
date_13-5-2024_15.0.11_1.png,297,18,254.5,189.27,216.87
date_14-5-2024_10.0.11_1.png,274,20,251.42,178.03,210.87
date_14-5-2024_13.0.10_1.png,274,20,247.48,185.87,211.09
date_14-5-2024_15.0.10_1.png,273,18,249.92,189.49,215.93
date_15-5-2024_10.0.11_1.png,275,16,249.58,184.16,216.42
date_15-5-2024_13.0.10_1.png,274,17,254.66,205.95,229.95
date_15-5-2024_15.0.10_1.png,275,16,254.01,201.74,226.68
date_16-5-2024_10.0.11_1.png,275,14,254.25,190.46,221.98
date_16-5-2024_13.0.10_1.png,275,16,248.01,196.0,219.8
date_16-5-2024_15.0.11_1.png,277,16,245.52,175.27,205.45
date_17-5-2024_10.0.11_1.png,224,19,250.96,201.19,227.81
date_17-5-2024_13.0.10_1.png,225,16,238.41,151.05,191.15
date_17-5-2024_15.0.10_1.png,226,16,250.83,219.4,243.91
date_18-5-2024_10.0.11_1.png,225,14,245.38,159.41,198.73
date_18-5-2024_13.0.10_1.png,226,12,250.89,227.95,247.67
date_18-5-2024_15.0.10_1.png,227,15,246.56,150.17,195.61
date_19-5-2024_10.0.11_1.png,226,15,246.24,155.22,197.84
date_19-5-2024_13.0.10_1.png,227,15,250.85,211.9,234.64
date_19-5-2024_15.0.11_1.png,227,15,250.12,197.56,225.0
date_2-5-2024_10.0.11_1.png,313,14,228.68,127.24,167.92
date_2-5-2024_13.0.10_1.png,307,18,231.73,133.66,174.82
date_2-5-2024_15.0.11_1.png,304,19,240.34,145.9,184.28
date_20-5-2024_10.0.11_1.png,227,16,254.24,202.34,229.04
date_20-5-2024_13.0.10_1.png,225,12,254.03,179.11,213.47
date_20-5-2024_15.0.10_1.png,225,15,250.68,171.28,210.72
date_21-5-2024_10.0.11_1.png,226,13,254.36,194.66,226.94
date_21-5-2024_13.0.11_1.png,226,14,254.43,184.95,216.63
date_21-5-2024_15.0.11_1.png,227,14,244.6,140.6,185.48
date_22-5-2024_10.0.11_1.png,247,15,254.7,180.12,219.32
date_22-5-2024_13.0.10_1.png,232,17,237.84,128.8,184.32
date_22-5-2024_15.0.11_1.png,233,17,227.04,115.2,168.48
date_23-5-2024_10.0.11_1.png,233,14,254.75,219.16,244.44
date_23-5-2024_13.0.10_1.png,233,11,254.97,228.28,248.2
date_23-5-2024_15.0.7_1.png,228,33,253.33,209.82,234.38
date_24-5-2024_10.0.11_1.png,234,24,254.2,225.62,246.02
date_24-5-2024_13.0.11_1.png,224,33,254.22,230.16,253.16
date_24-5-2024_15.0.10_1.png,227,25,254.21,216.65,240.73
date_25-5-2024_10.0.10_1.png,227,26,248.36,182.95,214.15
date_25-5-2024_13.0.11_1.png,227,24,248.92,186.36,217.96
date_25-5-2024_15.0.11_1.png,224,33,250.54,192.55,225.35
date_28-4-2024_15.0.11_1.png,324,14,246.57,168.78,204.07
date_29-4-2024_10.0.11_1.png,323,12,252.59,195.73,227.29
date_29-4-2024_13.0.10_1.png,324,13,251.19,180.65,213.39
date_29-4-2024_15.0.10_1.png,327,10,253.32,173.56,209.34
date_3-5-2024_10.0.11_1.png,317,12,254.16,210.83,237.09
date_30-4-2024_10.0.11_1.png,322,15,248.4,163.47,197.81
date_30-4-2024_13.0.10_1.png,316,15,221.7,120.16,163.92
date_30-4-2024_15.0.10_1.png,316,14,230.81,135.86,179.06
date_5-5-2024_10.0.11_1.png,307,11,255.0,220.73,244.29
date_5-5-2024_13.0.10_1.png,306,15,251.22,165.7,206.68
date_5-5-2024_15.0.11_1.png,304,15,243.84,180.42,211.12
date_6-5-2024_10.0.11_1.png,303,14,245.25,190.35,214.41
date_6-5-2024_12.35.6_1.png,305,29,244.47,188.11,213.35
