Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,265,119,252.76,203.05,236.57
date_1-5-2024_13.0.11_1.png,266,120,254.0,226.54,249.84
date_1-5-2024_15.0.11_1.png,265,113,253.16,201.22,236.18
date_10-5-2024_10.0.11_1.png,300,216,248.76,187.95,222.19
date_10-5-2024_13.0.11_1.png,300,216,252.03,193.66,222.59
date_10-5-2024_15.0.11_1.png,298,214,252.25,206.45,237.43
date_11-5-2024_10.0.11_1.png,298,213,247.17,175.81,215.19
date_11-5-2024_13.0.10_1.png,298,209,250.9,194.32,224.14
date_11-5-2024_15.0.10_1.png,296,210,252.39,201.96,233.01
date_12-5-2024_10.0.11_1.png,298,214,247.95,189.59,225.1
date_12-5-2024_13.0.10_1.png,296,209,252.17,199.53,230.35
date_12-5-2024_15.0.10_1.png,295,211,250.79,195.87,226.67
date_13-5-2024_10.0.11_1.png,294,217,247.33,171.03,213.87
date_13-5-2024_13.0.10_1.png,288,217,250.63,190.63,222.91
date_14-5-2024_10.0.11_1.png,273,245,248.8,188.88,226.12
date_14-5-2024_13.0.10_1.png,273,242,251.47,197.45,228.59
date_14-5-2024_15.0.11_1.png,270,245,249.18,180.89,222.17
date_15-5-2024_10.0.11_1.png,269,235,248.04,175.63,217.63
date_15-5-2024_13.0.10_1.png,267,232,252.38,210.47,238.89
date_15-5-2024_15.0.11_1.png,267,231,251.47,201.62,234.5
date_16-5-2024_10.0.11_1.png,267,233,248.53,195.79,232.89
date_16-5-2024_13.0.10_1.png,256,243,252.48,200.47,232.35
date_16-5-2024_15.0.10_1.png,252,233,250.89,192.13,228.81
date_17-5-2024_10.0.11_1.png,193,236,245.91,165.26,210.76
date_17-5-2024_13.0.10_1.png,191,233,253.48,219.67,247.95
date_17-5-2024_15.0.10_1.png,194,243,250.32,191.03,227.91
date_18-5-2024_10.0.11_1.png,192,233,248.62,173.98,217.14
date_18-5-2024_13.0.11_1.png,192,232,253.35,221.39,247.57
date_18-5-2024_15.0.10_1.png,192,235,242.02,141.4,192.44
date_19-5-2024_10.0.11_1.png,192,236,251.72,210.61,243.67
date_19-5-2024_13.0.10_1.png,192,235,253.07,205.52,236.32
date_19-5-2024_15.0.10_1.png,191,234,252.2,211.32,242.78
date_2-5-2024_10.0.11_1.png,339,201,250.12,189.21,225.29
date_2-5-2024_13.0.10_1.png,340,203,253.62,219.87,246.12
date_2-5-2024_15.0.11_1.png,340,201,252.95,212.87,240.85
date_20-5-2024_10.0.11_1.png,193,240,248.8,182.95,223.73
date_20-5-2024_13.0.10_1.png,191,233,243.64,148.66,196.7
date_20-5-2024_15.0.10_1.png,191,236,245.42,184.19,222.63
date_21-5-2024_10.0.11_1.png,188,227,250.22,185.57,225.49
date_21-5-2024_13.0.11_1.png,189,234,250.76,184.34,224.48
date_21-5-2024_15.0.11_1.png,187,225,246.83,151.74,201.94
date_22-5-2024_10.0.11_1.png,174,233,247.05,153.86,205.22
date_22-5-2024_13.0.10_1.png,176,241,226.76,108.46,166.42
date_22-5-2024_15.0.10_1.png,175,235,245.19,148.69,202.41
date_23-5-2024_10.0.11_1.png,175,228,248.98,192.61,232.37
date_23-5-2024_13.0.10_1.png,173,232,252.84,212.64,243.95
date_23-5-2024_15.0.10_1.png,174,230,249.67,196.79,232.66
date_27-5-2024_10.0.11_1.png,77,225,247.53,181.67,226.87
date_27-5-2024_13.0.11_1.png,76,227,251.71,191.38,229.3
date_27-5-2024_15.0.11_1.png,76,226,248.64,177.98,220.63
date_28-5-2024_10.0.11_1.png,76,225,248.2,192.36,231.6
date_28-5-2024_13.0.10_1.png,74,222,249.66,193.9,230.86
date_28-5-2024_15.0.10_1.png,76,229,246.15,166.65,212.19
date_29-5-2024_10.0.11_1.png,74,224,249.73,189.3,232.59
date_29-5-2024_13.0.10_1.png,75,227,248.98,164.6,213.36
date_29-5-2024_15.0.11_1.png,75,229,244.45,140.25,193.25
date_3-5-2024_10.0.11_1.png,339,195,248.54,180.26,219.9
date_3-5-2024_13.0.10_1.png,341,197,253.03,212.56,241.13
date_3-5-2024_15.0.10_1.png,340,199,251.66,194.53,229.07
date_30-4-2024_10.0.11_1.png,262,99,253.88,210.04,241.37
date_30-4-2024_13.0.11_1.png,265,118,253.39,186.8,226.26
date_30-4-2024_15.0.11_1.png,266,115,253.41,206.32,240.07
date_30-5-2024_10.0.11_1.png,73,225,246.34,176.9,220.78
date_30-5-2024_13.0.10_1.png,74,224,250.46,191.43,227.21
date_9-5-2024_15.42.7_1.png,301,237,248.8,183.48,215.6
