Filename,Center_X,Center_Y,Average_R,Average_G,Average_B
date_1-5-2024_10.0.11_1.png,279,209,191.36,107.35,150.63
date_1-5-2024_12.19.46_1.png,329,221,195.1,119.52,155.8
date_1-6-2024_10.0.11_1.png,325,217,217.16,140.7,183.46
date_1-6-2024_13.0.11_1.png,326,217,235.77,203.75,229.67
date_1-6-2024_15.0.10_1.png,327,216,202.86,122.45,224.42
date_10-5-2024_10.0.10_1.png,310,220,216.26,154.31,188.38
date_10-5-2024_13.0.10_1.png,310,217,239.28,196.91,226.55
date_10-5-2024_15.0.10_1.png,311,216,226.31,168.16,202.03
date_11-5-2024_10.0.10_1.png,310,213,218.93,162.79,198.96
date_11-5-2024_13.0.11_1.png,310,215,235.25,190.21,220.82
date_11-5-2024_15.0.11_1.png,311,213,234.32,186.22,218.76
date_12-5-2024_10.0.10_1.png,310,212,213.39,155.74,191.64
date_12-5-2024_13.0.10_1.png,311,214,237.99,197.23,226.39
date_12-5-2024_15.0.11_1.png,311,213,228.01,167.04,205.37
date_13-5-2024_10.0.11_1.png,314,219,218.07,158.88,194.53
date_13-5-2024_13.0.10_1.png,323,214,236.75,192.93,223.63
date_13-5-2024_15.0.11_1.png,348,217,232.84,166.03,203.88
date_14-5-2024_10.0.11_1.png,335,220,218.74,159.21,194.05
date_14-5-2024_13.0.11_1.png,335,221,220.79,165.35,230.64
date_14-5-2024_15.0.11_1.png,336,219,235.39,190.92,219.65
date_15-5-2024_10.0.10_1.png,333,216,206.99,145.44,221.41
date_15-5-2024_13.0.10_1.png,333,213,219.39,143.52,229.09
date_15-5-2024_15.0.11_1.png,331,215,220.63,150.89,231.13
date_16-5-2024_10.0.10_1.png,334,212,213.08,147.14,190.17
date_16-5-2024_13.0.11_1.png,347,218,237.83,194.79,226.48
date_16-5-2024_15.0.11_1.png,340,212,230.05,170.36,205.86
date_17-5-2024_10.0.10_1.png,352,219,221.93,161.37,199.22
date_17-5-2024_13.0.11_1.png,352,219,239.12,200.17,229.48
date_17-5-2024_15.0.11_1.png,349,211,241.03,188.21,224.33
date_18-5-2024_10.0.10_1.png,350,215,217.67,136.36,180.1
date_18-5-2024_13.0.11_1.png,350,214,237.42,199.09,228.17
date_18-5-2024_15.0.11_1.png,351,216,201.02,105.47,154.99
date_19-5-2024_10.0.10_1.png,339,215,189.23,139.41,211.68
date_19-5-2024_13.0.11_1.png,340,215,233.94,193.26,224.36
date_19-5-2024_15.0.11_1.png,339,215,240.87,194.96,228.49
date_2-6-2024_10.0.10_1.png,324,209,220.74,175.7,207.56
date_2-6-2024_13.0.11_1.png,326,207,226.16,158.68,198.29
date_2-6-2024_15.0.11_1.png,328,212,204.95,112.51,161.24
date_20-5-2024_10.0.10_1.png,338,217,218.08,160.66,199.35
date_20-5-2024_13.0.10_1.png,338,215,192.05,106.37,216.26
date_20-5-2024_15.0.11_1.png,338,215,213.75,143.47,187.03
date_21-5-2024_10.0.10_1.png,339,212,218.36,148.67,190.12
date_21-5-2024_13.0.10_1.png,339,215,220.84,152.03,192.68
date_21-5-2024_15.0.11_1.png,338,214,204.58,113.77,159.68
date_22-5-2024_10.0.11_1.png,351,207,209.88,129.45,174.89
date_22-5-2024_13.0.11_1.png,346,221,179.07,75.81,122.93
date_22-5-2024_15.0.11_1.png,345,215,171.46,150.34,223.66
date_23-5-2024_10.0.10_1.png,348,212,214.71,158.77,194.61
date_23-5-2024_13.0.11_1.png,347,214,236.31,196.29,228.16
date_23-5-2024_15.0.11_1.png,347,213,240.16,199.84,231.08
date_24-5-2024_10.0.10_1.png,347,222,224.76,175.54,208.27
date_24-5-2024_13.0.10_1.png,347,222,201.47,182.11,232.45
date_24-5-2024_15.0.11_1.png,347,221,239.94,196.28,225.24
date_25-5-2024_10.0.11_1.png,353,216,228.33,182.04,215.3
date_25-5-2024_13.0.10_1.png,353,216,241.43,210.29,236.9
date_25-5-2024_15.0.11_1.png,350,219,235.46,160.47,202.09
date_26-5-2024_10.0.10_1.png,350,218,218.9,160.97,197.56
date_26-5-2024_13.0.10_1.png,350,215,240.16,203.48,233.79
date_26-5-2024_15.0.11_1.png,350,218,239.17,179.52,215.32
date_27-5-2024_10.0.10_1.png,349,218,222.82,168.26,205.07
date_27-5-2024_13.0.11_1.png,349,218,241.49,190.36,224.03
date_27-5-2024_15.0.11_1.png,350,218,238.51,183.77,219.78
date_28-5-2024_10.0.10_1.png,350,218,224.42,162.04,199.41
date_28-5-2024_13.0.11_1.png,350,218,238.81,179.31,215.18
date_28-5-2024_15.0.11_1.png,350,217,238.32,176.71,213.11
date_29-5-2024_10.0.10_1.png,351,220,226.67,174.89,209.97
date_29-5-2024_13.0.11_1.png,350,219,237.51,170.71,209.71
date_29-5-2024_15.0.11_1.png,351,220,213.67,124.83,167.21
date_3-6-2024_10.0.10_1.png,361,219,203.45,137.35,174.75
date_3-6-2024_13.0.11_1.png,356,215,241.54,211.42,236.16
date_3-6-2024_15.0.11_1.png,372,214,235.39,189.87,223.08
date_30-4-2024_15.0.11_1.png,284,206,227.35,166.37,202.43
date_30-5-2024_10.0.10_1.png,349,218,238.62,191.75,228.19
date_30-5-2024_13.0.11_1.png,349,218,238.3,194.01,225.39
date_31-5-2024_10.0.10_1.png,325,217,212.95,158.1,193.98
date_31-5-2024_13.0.11_1.png,325,218,232.03,186.55,218.16
date_31-5-2024_15.0.11_1.png,326,219,236.49,193.25,224.18
date_4-6-2024_13.0.11_1.png,367,210,226.63,161.72,201.9
date_4-6-2024_15.0.11_1.png,373,201,204.97,119.14,167.74
date_5-6-2024_10.0.10_1.png,378,211,205.42,131.82,175.14
date_5-6-2024_13.0.11_1.png,376,206,238.17,203.59,231.67
date_5-6-2024_15.0.11_1.png,377,211,238.06,198.34,228.53
date_6-6-2024_10.0.11_1.png,376,214,208.73,137.43,180.73
date_6-6-2024_13.0.11_1.png,376,211,235.09,187.67,220.73
date_6-6-2024_15.0.11_1.png,375,211,238.92,200.24,229.59
