Filename,Center_X,Center_Y,Width,Height
date_1-5-2024_10.0.11_1.png,307,36,5,5
date_1-5-2024_10.0.11_1.png,278,99,5,5
date_1-5-2024_10.0.11_1.png,357,184,5,5
date_1-5-2024_10.0.11_1.png,279,243,5,5
date_1-5-2024_10.0.11_1.png,411,234,5,5
date_1-5-2024_12.19.46_1.png,330,254,5,5
date_1-5-2024_13.0.11_1.png,310,31,5,5
date_1-5-2024_13.0.11_1.png,411,230,5,5
date_1-5-2024_13.0.11_1.png,357,183,5,5
date_1-5-2024_13.0.11_1.png,278,100,5,5
date_1-5-2024_15.0.11_1.png,410,228,5,5
date_1-5-2024_15.0.11_1.png,357,182,5,5
date_1-5-2024_15.0.11_1.png,277,93,5,5
date_1-5-2024_15.0.11_1.png,310,33,5,5
date_1-6-2024_10.0.11_1.png,259,47,5,5
date_1-6-2024_10.0.11_1.png,382,206,5,5
date_1-6-2024_10.0.11_1.png,293,254,5,5
date_1-6-2024_10.0.11_1.png,326,252,5,5
date_1-6-2024_13.0.11_1.png,382,207,5,5
date_1-6-2024_13.0.11_1.png,292,254,5,5
date_1-6-2024_13.0.11_1.png,259,47,5,5
date_1-6-2024_13.0.11_1.png,328,253,5,5
date_1-6-2024_15.0.10_1.png,328,252,5,5
date_1-6-2024_15.0.11_1.png,292,253,5,5
date_1-6-2024_15.0.11_1.png,259,46,5,5
date_1-6-2024_15.0.11_1.png,382,206,5,5
date_10-5-2024_10.0.10_1.png,416,236,5,5
date_10-5-2024_10.0.10_1.png,310,251,5,5
date_10-5-2024_10.0.11_1.png,362,190,5,5
date_10-5-2024_10.0.11_1.png,312,201,5,5
date_10-5-2024_13.0.10_1.png,310,249,5,5
date_10-5-2024_13.0.11_1.png,311,201,5,5
date_10-5-2024_13.0.11_1.png,362,189,5,5
date_10-5-2024_13.0.6_1.png,417,233,5,5
date_10-5-2024_15.0.10_1.png,310,249,5,5
date_10-5-2024_15.0.10_1.png,361,185,5,5
date_10-5-2024_15.0.11_1.png,309,199,5,5
date_10-5-2024_15.0.7_1.png,415,232,5,5
date_11-5-2024_10.0.10_1.png,310,247,5,5
date_11-5-2024_10.0.10_1.png,416,233,5,5
date_11-5-2024_10.0.11_1.png,310,197,5,5
date_11-5-2024_10.0.11_1.png,362,183,5,5
date_11-5-2024_12.23.0_1.png,429,243,5,5
date_11-5-2024_13.0.10_1.png,309,195,5,5
date_11-5-2024_13.0.10_1.png,361,187,5,5
date_11-5-2024_13.0.11_1.png,310,247,5,5
date_11-5-2024_15.0.10_1.png,308,195,5,5
date_11-5-2024_15.0.11_1.png,311,245,5,5
date_11-5-2024_15.0.11_1.png,361,189,5,5
date_12-5-2024_10.0.10_1.png,310,245,5,5
date_12-5-2024_10.0.10_1.png,360,188,5,5
date_12-5-2024_10.0.11_1.png,309,199,5,5
date_12-5-2024_13.0.10_1.png,308,195,5,5
date_12-5-2024_13.0.10_1.png,360,185,5,5
date_12-5-2024_13.0.10_1.png,311,247,5,5
date_12-5-2024_15.0.10_1.png,307,196,5,5
date_12-5-2024_15.0.11_1.png,311,246,5,5
date_12-5-2024_15.0.11_1.png,360,188,5,5
date_13-5-2024_10.0.11_1.png,306,200,5,5
date_13-5-2024_10.0.11_1.png,313,251,5,5
date_13-5-2024_10.0.11_1.png,358,191,5,5
date_13-5-2024_12.8.2_1.png,385,53,5,5
